,cluster,id,links,name
3,2,"[42372, 2678, 5185, 7520, 18003, 18070, 27340, 29380, 39036, 45521]","['https://cdn-st.rutubelist.ru/media/91/f5/1f21f7524fc2a75d69160adf2b79/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4a/8d/247b57554652b1a2234dc719cb99/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4a/7c/7fe84e5545e49da52639de9acc3c/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/53/e2/e49e9ac942abab8d24f2cdbee328/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/3e/5b/8628252740bdb0dc6d3f7a04de40/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/d3/7b/152ea9bc4046b4a08b9f85a8bbe8/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/cc/2b/b96134f24580a4f8e6db5d627345/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e7/6b/96db10b84ff5b3e581a329f4bb22/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/74/67/0070d7c84a7db59101af3993e5e3/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/40/39/6ee5335d4bc7b1c24f2a14418037/fhd.mp4']",про фильмы
4,3,"[1478, 2029, 2673, 2948, 3811, 3999, 7777, 8213, 11678, 12081, 14764, 15204, 17596, 17809, 20996, 21628, 22564, 22988, 23554, 24209, 24700, 24700, 24890, 28755, 31861, 32672, 32900, 33123, 44849]","['https://cdn-st.rutubelist.ru/media/4b/3e/0d6bf43140ac96af2fb8f667057e/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/06/bf/9002b30c471c863a97986a3dec8d/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/39/3f/c4ab38ba4fcbaa87d632742fcf22/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ca/ec/ed176c43482b98d40788c118433f/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/9f/16/f7fababb4079985770f5ba2d57e0/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c5/ee/a964949645deba5671bf2a36471d/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/08/e8/b1ca7086410d86cf965a05319d4b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/f7/e6/be765e854f9e8f958554455ee28d/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e6/78/5c5399354df2a795355accd70a48/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/fb/de/72a9c4054145952bbb7eccbe26d4/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4f/0c/5572eab64a968d314f5011a46b56/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/20/1d/6f3f4dd6423c947f95b15f02c4df/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/af/72/992adc6943aa916b02145092477f/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/08/88/4c41d5784d54b72b1b4d46983140/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/8a/7d/1d04af9e41cdac9900e4c508624e/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e9/79/36d2d65c4878a762a72277a178d6/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ef/b8/ea2116424687bb8b647046361662/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/22/d7/930618f54266a456d6d0ada55bbe/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/fc/7f/9162318141ecad933d6f3a16ccff/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/26/f6/774cc0674487bfdea2a16d94f85e/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/7e/7f/090fedab4a92a6d275f7c5594b88/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/7e/7f/090fedab4a92a6d275f7c5594b88/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/b1/28/803d82704e77960eee378534031b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/8d/7e/13f6798a466c92ff4a64b7884242/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/17/15/04585b2e4564984b0055a141c460/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c7/c4/efd08fd2488c86b6b228ca38b254/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/78/44/bd59f8e844b98e770ed39d5a1a53/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e1/18/aef9484240529d99754318c40d4a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/be/55/254925f44539a87087090f8220c6/fhd.mp4']",про игры
5,4,"[39666, 2301, 5800, 6051, 6106, 12246, 13507, 13628, 23244, 25570, 26765, 27250, 27365, 27774, 34950]","['https://cdn-st.rutubelist.ru/media/20/1a/93ea380445e2b754ea87cbbccd82/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/58/be/0874cfa043a696ee91faf2b083c1/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/40/79/855473e549b4b0be62af463ef592/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/34/0b/4375fd42468aa08870745ca73640/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ed/2b/c8e1e0864a6a8b7ebfc37f68a94a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/22/36/228e3bb14e96998cf575bb4991a9/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/20/e5/eeefa88e45dfbe5fc1d740eab552/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/61/70/a57bc0ae4720ae969d7e8ee4a580/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/57/c7/9954a6c94e7aabce564246731434/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/b1/fb/b701462342b9810e7203a2dfec86/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/af/36/4bc0c3084df3ab8f6907e51c5c6e/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c3/1c/4a125c324ebc87ea9cf6ecc0bee7/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c5/86/53daa52d471ea3ee12decd66d575/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/df/b7/816458404efe98c4e7eecad3f7d5/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/74/9a/49063cbb4ad49ae593d696668bee/fhd.mp4']",про телефоны
6,5,"[4603, 9313, 14785, 16589, 26235, 26305, 27428, 27673, 29853, 30353, 30509, 30513, 31752]","['https://cdn-st.rutubelist.ru/media/3f/c9/0803545a49899237c2ff15df43a0/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/35/a0/c4b73e0447e88ee873273a294a5b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/31/60/59af21144cbdb0201a575d56a43f/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/d8/4c/568ad76840a49eaefd15f518fce5/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/32/2c/9899c63e406ba222f165315d7ce9/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/49/33/4c4af24b4c599006739aca566938/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/04/91/4969120248608359007664260218/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/98/d3/13280ec64e5d998889eb7d7a3a9a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/53/5b/5207f8404784b1f9719ed26d8ab9/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/dd/4c/2b9b23c14e7ba924cb3128cd4c68/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/13/f9/a36938fd4f5b844459efea3429dc/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4e/1f/f7dba8e8444cbd0cb2ad63119e56/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/05/cc/fbc0ad68461bb050729bb87aaf6e/fhd.mp4']",интересные факты
7,6,"[42643, 298, 535, 2220, 6774, 7864, 8887, 9145, 11389, 13665, 17680, 22868, 23535, 25596, 29865, 30320, 30472, 38479, 41760, 41914, 42048]","['https://cdn-st.rutubelist.ru/media/9d/e7/23652fa14b3a992d5fb98b8b4a77/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/67/6a/64a8dbc645338a645229de98d690/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/dc/b9/77949a604a778ca9d4c758c8f415/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/6c/c1/778ad5784b448f2573693368972a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/b6/91/aa72be844e53ac36d4d00d3d37d0/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/00/e3/99a2fc1e461db8813ec1138dd3fb/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/fc/56/3c0dfea645d0aea81cec9383c716/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/d7/bc/7c20772a4cbcb16343bde916aab4/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/2a/46/624414044c80a1d97251b61cde26/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/10/51/dcf0f0d24fbba040c55482c2b238/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4c/4b/a99ef07349e6ac73a42476b64902/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/a4/c2/ef1ef2ac401e92233f74c0cf1901/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c0/b0/0577d1ca470fad8b19d9d58d292f/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/8d/4d/c5ec21f84defb64b1635af6e84e3/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/fd/a5/8712c87c414d93eed3c3cbc3744d/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/6a/c8/d647fabe44cda808fbcc07073ae9/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/cf/2a/2daa62d244128e4a90bb89d69c3b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/09/08/5e95e9cc4f5fb976082cad1653ac/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c6/b5/b3266762461f8bf9c39d96e35488/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/85/19/27d6e52f4581947a1541694fe7f5/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/cc/e0/5f6f29d64d1da40fcadeb19e5161/fhd.mp4']",про уход за кожей
8,7,"[3003, 4941, 7829, 8343, 12239, 14861, 22373, 23224, 23375, 26859, 28538, 34632, 35899, 41799]","['https://cdn-st.rutubelist.ru/media/f1/7b/e9e3783a4d75a76b639329cad243/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e6/76/d0a33e264909a65249dab2586d1e/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/51/03/244f0fec41e8a4f6fe6aba4fda6a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/15/31/da0684854793bcadf906ac15c696/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/1a/ef/1160c3e44828b4174981ed4e4d2d/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/f9/65/bea6b79e4c0abf523110efcdd548/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/54/08/78fb4dff4576bebab03bf9e243ab/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c7/00/b7cf2ca24ba1bc37cf805d5ecff0/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4c/d3/e8930ce9485e8acec8bdf22829a7/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/60/93/8d1da7c543709d3b6d8bbdd52ee0/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/75/7e/d79b5b834feda67b8b2e893c35a0/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/f9/a7/95aeae084731834185dcdffb906a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c6/b1/c1f30e324a4fa2cae2aeefa66397/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/1b/dd/198e913043fa87c63f032e5066be/fhd.mp4']",про историю Росиии и СССР
9,8,"[3833, 4246, 8252, 9340, 11676, 12219, 13958, 14992, 15203, 17270, 22943, 24199]","['https://cdn-st.rutubelist.ru/media/53/db/5ee250c446128280ef92409cc505/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e9/92/39745d3343f9aa1ecbe9c46e5cfb/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/45/5b/7f8a0ed04127a21b32f7a4baadad/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/a4/01/3725ba204bb9bf763d8bb789e611/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/b1/07/67e710604ba48402db99b0463ca4/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/85/a9/3837500f4494a756507661d93633/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c1/1d/d92d6bf74afdab97a058eb4f9f13/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ca/c5/d45fe8014131b4b20b0dfe1de2f8/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/a1/2b/2f0c6d1145a2a6c2db0e919dad88/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ea/cb/ad5944b642f993312c636043b2fe/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/f0/90/749b20964fda81816ab03d71adde/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/25/5a/38fc9ba744b6a15f5aa3c220422b/fhd.mp4']",про бизнес
10,9,"[16, 307, 1452, 2107, 2179, 3100, 3668, 3982, 5497, 5676, 5908, 8682, 9030, 10807, 11086, 14743, 14895, 16709, 25651, 26271, 27212, 27235, 28903, 29356, 29603, 29639, 32437, 32971, 34551, 34601, 34918, 35924, 38399, 39467, 44986, 45337]","['https://cdn-st.rutubelist.ru/media/a3/9f/2352de2748b3868df583d51a402b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/3e/ff/7b9cef44454b9c0554883fd91ae8/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/91/c0/910aa4af4d2788f947daa1ea1f83/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/bd/fb/34126d724f79bcf14bbea0d945b5/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/37/58/d5c6990646369b4cf4a870737afe/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/3b/cb/6bdd04d347c2a78930dab8c42e15/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/18/a5/618c6aab427ebb64982aca7c9a6c/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/63/a3/d92885704516bfebf08c8989bcec/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/df/15/192828524f479cac8529ae628b19/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/26/00/eec78d3040c992957bfacff1b4ac/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/8d/f0/eaa8c0304060adbc7d1d175e73ee/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/d1/5c/17469f824290b39795a94386dd38/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/38/d5/5a7010434a2a82caaef8ce36765a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/34/3a/c152c2ff4f52ab3d4df272ec2554/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/d7/0e/531000fe4df1bbecffe3a3258965/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c8/7c/4cafa5ad4f5095103c47837d4301/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/36/a7/ea7a0195458081e52f87d1d411cd/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/0f/89/6aa26cc2442bbd0e2edd7660e4ad/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/30/e4/35571a2644a7a6e8c6ef1af7a987/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/38/59/fdca99cf49caa8ff886af5929345/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/6b/08/7e6e3ec846809d3c3f977c535633/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/b1/d7/9c158fbf4b88804c3fb706126083/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4a/1e/4b37578e4a129b9b85e30f9702d8/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/97/e5/22ece8b749bbb0f8689f44fb8a41/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/a0/07/2215dc914c86ad409677fc726677/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/d5/05/9068761e409e93d40a86709c9313/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c4/a5/3b4a7d1e4772996c29160db54c77/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/62/77/129885784dcab0ee2da83308cb3e/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/1a/0b/27fe41d146658a1897926ea78a98/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/c5/57/8aa098b34940bad36c1182fe158a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/22/27/8d27757d4cfe8a11582f271aaa12/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/f1/ae/ff2bb1d84618891506aafea7d75a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/4d/12/18366dc94ee3a71b83c58a8f6640/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/78/36/cf49ca0548218aacd21fb50b05be/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/db/65/f7780bf849febc31227f8cd87194/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/48/8b/41673994478e98dc1a111ab9fc41/fhd.mp4']",про здоровье
11,10,"[98, 363, 1751, 3553, 4426, 5008, 6043, 8245, 9238, 11679, 11915, 12001, 14311, 14451, 22954, 24981, 24983, 26221, 28772, 28985, 29315, 29742, 30216, 32935, 34912, 38588, 39125, 39558, 41693, 44615, 44729, 45062]","['https://cdn-st.rutubelist.ru/media/d1/0f/f41e4b0d40ccb994e792920e3566/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/eb/94/8235d26846b48b4ece67ed584c27/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/95/8e/72ffc3e449ff8808ac41efb4c292/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e0/1c/48f618d94706981c72527a9856ab/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/1a/59/fb0477604c96a79f809b32af6c88/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/49/60/f59836f846d189416229f195b871/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/48/1a/a53a2dd54c4d8b59f0095bdab82a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/dd/5e/992da203430b84378d6ad350c269/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/e1/07/ce8f334d4f0c85d85761f0f280eb/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/44/99/0b373879443a8d47fd8c785ff78b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/1d/ac/3a87998849269fe2a17113aab9cd/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/0d/ca/cec4b2d149c591a14ed41b2174ff/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ee/d2/1dbf6c3d4d2a997af274d0955ad3/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/2b/ce/3cf9e66547ac91f8c05e00ba2ae5/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/91/17/c9df341347a5896d490a7c41e123/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/18/8f/7248ae4b4b7b86adf760198f744a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/52/c7/3a7e246140a4b2bd196195b2c967/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/0f/a6/732a42f541fd8c3d81f05dd1a18a/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/17/33/4d9038bd45fdab16ba58568b4414/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/39/61/a72ec4894287a26b801cb9b0316b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/62/6c/9c1ecffe4aa59294b1840dc01104/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/04/60/7c0c07004ae9bc9cc02322636dd8/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/ab/3f/09a8ab214f89951481a81d255514/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/15/16/dbfed01a4ed883d40d73197088e1/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/7b/b9/132a77404df2889e89942b42c3e6/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/19/3d/6fbf4de84da0b070c38849251e54/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/65/b9/be1e20ea4fcb94d7a5467aa1835f/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/50/88/dbdad67c49989a770ebae768f013/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/32/bd/18becc49454792a4c1346b271edb/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/a8/15/5a7e4eaa4a04a501bd11985d1386/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/9f/42/cfe4a0304a8e84fc471315d573c1/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/70/d7/cac225c04934838d3a3a8efa4a24/fhd.mp4']",про корабли
12,11,"[3289, 5966, 5973, 14222, 17233, 17613, 20851, 27678, 27908, 34964, 38754, 41509]","['https://cdn-st.rutubelist.ru/media/49/66/6910870b4e20be1a05355968a4f4/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/34/ae/738b23754778b6b2c79f449c109c/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/1b/8b/61a139ea448daf45257bded10cd2/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/9f/af/03d3d5054f1fafb37f995c5c68ad/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/2b/7b/ab60f0e74783a5d08e484f41b8a2/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/cd/67/727eb3ff4e0fad881bdcd04d282b/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/b1/a1/8b1ebf144c96b6c47020fafc552f/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/41/8e/d8032e804baa93142291dcc68361/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/bf/a9/759fa752440195c4cd8ec22397c6/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/39/1d/db3322434b37beb0909ccee42053/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/96/e1/ac4b7b7f47a5825796694c32f07d/fhd.mp4', 'https://cdn-st.rutubelist.ru/media/31/8e/7a34cbaf4cf3aa539ecba6ec969c/fhd.mp4']",про макияж
